32023006NOPV_PCP PCO_05042023_(22-235672)_text.txt|Coffeyville Resources Crude Transportation, LLC | Central Region | Oklahoma | May 4, 2023 | $804,300 | Safety | 1 | CRCT must, within 90 days of the Final Order, provide an updated internal corrosion monitoring procedure that includes a process to periodically survey its pipeline segments for dead leg segments.
12023008NOPV_PCO PCP_06152023_(20-187757)_text.txt|Adelphia Gateway, LLC | Not specified | New Jersey | June 15, 2023 | $56,600 | Safety | 1 | Install proper line markers in accordance with 49 C.F.R. § 192.707 at its Perkiomen and East Perkiomen MLV sites, and at all other aboveground natural gas facilities it owns and/or operates. Evidence of compliance shall be documented and submitted to PHMSA for review within 60 days of receipt of the Final Order.
42023027NOPV_PCP_03242023_(22-239724)_text.txt|Sea Robin Pipeline Company | Gulf of Mexico and Louisiana | Louisiana | March 24, 2023 | $39,400 | Safety | 1 | Not specified
52023029NOPV_PCP PCO_06222023_(22-251181)_text.txt|AmeriGas Propane LP|Hawaii|Not specified|June 22, 2023|$550,100|Pipeline Safety Regulations|18|Install a service regulator upstream of the meter, add or modify supports on meters, replace inadequately protected risers, monitor cathodic protection, replace overpressured regulators, install overpressure protective equipment
52023016NOPV_PCO_03242023_(21-207466)_text.txt|Norgasco, Inc | Not specified | Alaska | March 24, 2023 | Not specified | Safety | 6 | Compliance Order issued
12023022NOPV_PCO_04132023_(22-234207)_text.txt|Adelphia Gateway, LLC | Eastern Region | New Jersey | April 13, 2023 | Not specified | Safety | 5 | Replace stud bolts that were improperly installed at G-75 Valve Setting with stud bolts that meet the requirements of Adelphia’s Flange Installation Specification within 270 days of receipt of the Final Order.
32024012NOPV_PCP PCO_02062024_(23-264235)_text.txt|Northern Natural Gas Company | Not specified | Nebraska | February 6, 2024 | $68,800 | Safety | 3 | Revise Procedure 80.101 and Engineering Standard 0060, Train personnel, Implement new procedure, Review processes for MCAs, Maintain documentation of safety improvement costs
42023034NOPV_PCO PCP_05082023_(22-232741)_text.txt|Energy Transfer Company | Not specified | Texas | May 8, 2023 | $119,000 | Safety | 7 | Proposed Compliance Order
52023048NOPV_PCO_11022023_(22-239215)_text.txt|Clear Creek Storage Company, LLC | Not specified | MO | November 2, 2023 | Not specified | Safety | 4 | Clear Creek must develop and test an internal communications plan, develop a procedure to test backup SCADA systems, and develop an alarm management plan.
52023002NOPV_PCP_02062023_(22-239265)_text.txt|Mid-Alaska Pipeline, LLC | Alaska | AK | February 6, 2023 | $50,200 | Safety | 3 | Not specified
32024007NOPV_PCO_01182024_(22-234928)_text.txt|ENBRIDGE INC. | Not specified | Not specified | January 18, 2024 | Not specified | Safety | 3 | ETNG must submit a schedule for repair of the relevant pipe section within 90 days of receipt of the Final Order; ETNG must submit a schedule for clearing the locations noted in the violation report or perform alternative ROW inspection methods within 90 days of receipt of the Final Order; ETNG must train its staff to ensure these safety devices are maintained within 90 days of receipt of the Final Order.
12023011NOPV_PCP_05052023_(21-207810)_text.txt|Buckeye Partners, LP | Not specified | Texas | May 5, 2023 | $441,151 | Pipeline integrity management, Control room management | 3 | Not specified
52023052NOPV_PCO_10272023_(22-246104)_text.txt|City of Palo Alto Utilities (CPA) | Not specified | California | October 27, 2023 | Not specified | Safety | 1 | CPA must amend its procedures to provide detailed instructions for conducting and documenting an annual audit of the Public Awareness Plan required by Section 8.3 of API RP 1162. Additionally, CPA must conduct an audit (using the amended procedures) and submit the amended procedures and audit results to PHMSA within 60 days of receipt of the Final Order.
32024016NOPV_PCO_02132024_(23-264316)_text.txt|Enbridge Pipelines (Southern Lights), L.L.C. | Not specified | Illinois | February 13, 2024 | Not specified | Safety | 1 | Train field personnel in proper use of relief devices and provide documentation of training within 180 days.
12023036NOPV_PCO PCP_05042023_(22-233211)_text.txt|Kinder Morgan Liquid Terminals, LLC | Not specified | Texas | May 5, 2023 | $75,200 | Safety | 4 | KMLT must gather its prior records and update its tank impoundment calculation records for its Carteret and Perth Amboy, New Jersey facilities. If the tank impoundment records are unable to be validated with sufficient documentation, KMLT must conduct a survey or field verification to support the tank impoundment calculation data within 180 days of receipt of the Final Order.
32023009NOPV_PCP_05172023_(22-233968)_text.txt|Northern Natural Gas Company | Not specified | Nebraska | May 17, 2023 | $75,200 | Safety | 5 | Not specified
52023033NOPV_PCO_07192023_(22-239213)_text.txt|Black Hills Shoshone Pipeline, LLC | Western Region | Iowa | July 19, 2023 | Not specified | Safety | 4 | Conduct and document an evaluation of each SCADA system, submit 2022 records of backup SCADA tests, amend procedures for point-to-point verifications, conduct forensic analysis of field operations and maintenance records.
52023025NOPV_PCP PCO_04062023_(21-200502)_text.txt|Amplify Energy Corp. | Not specified | California | April 6, 2023 | $58,400 | Pipeline Safety Regulations | 3 | Compliance Order to Beta Offshore
42023041NOPV_PCO PCP_03242023_(22-235634)_text.txt|Holly Energy Partners | Southwest | Texas | March 24, 2023 | $108,700 | Safety | 1 | Holly must identify all jurisdictional pipelines with thermal insulation, install APFs at identified corrosion monitoring locations, conduct atmospheric corrosion inspections, and provide records to PHMSA within 120 days of issuance of the Final Order.
32023003NOPV_PCP_08152023_(21-201326)_text.txt|TC Oil Pipeline Operations, Inc. | Central Region | Texas | August 15, 2023 | $103,800 | Safety | 2 | Proposed Compliance Order
52023003NOPV_PCP PCO_04112023_(22-236099)_text.txt|Kinder Morgan, LLC | Western Region | California | April 11, 2023 | $81,500 | Safety | 1 | Conduct an atmospheric corrosion inspection and follow procedures for proper repair within 60 days of receipt of the Final Order.
