2022 Morning View Resurfacing & Storm Drain Improvements, 2023-09, 2023-06, 2023-09, road, capital, design  
PCH Median Improvements Project, 2023-09, 2023-06, 2023-09, road, capital, design  
Westward Beach Road Repair Project, 2023-09, 2023-06, 2023-09, road, capital, design  
Westward Beach Road Drainage Improvements Project, 2023-09, Not specified, 2023-06, road, capital, design  
Clover Heights Storm Drainage Improvements, 2023-09, Not specified, 2023-06, road, capital, design  
Latigo Canyon Road Retaining Wall Repair Project, 2023-06, Not specified, 2023-03, road, disaster, design  
Trancas Canyon Park Upper and Lower Slopes Repair, 2023-06, Not specified, 2023-03, Not specified, capital, design  
Permanent Skate Park, 2024-01, 2023-03, Not specified, Not specified, capital, design  
PCH at Trancas Canyon Road Right Turn Lane, 2023-09, 2023-09, Not specified, road, capital, design  
Trancas Canyon Park Playground, Not specified, 2023-06, 2023-06, Not specified, capital, design  
Malibu Road Slope Repairs, Not specified, 2023-04, Not specified, road, capital, not started  
Encinal Canyon Road Repairs, Not specified, 2023-06, Not specified, road, disaster, not started  
PCH Signal Synchronization System Improvements Project, 2023-04, 2025-06, Not specified, road, capital, not started  
Storm Drain Trash Screens Phase Two, 2023-06, 2023-06, Not specified, road, capital, not started
