Marie Canyon Green Streets, Summer 2022, 2022-03, Not specified, Not specified, capital, design  
PCH Median Improvements Project, Summer 2022, 2022-03, Not specified, Not specified, capital, design  
PCH Signal Synchronization System Improvements Project, Summer 2022, Not specified, Not specified, Not specified, capital, design  
Westward Beach Road Improvements Project, Fall/Winter 2022, Not specified, Not specified, road, capital, design  
Civic Center Water Treatment Facility Phase 2, Spring 2023, 2021-12, Not specified, Not specified, capital, design  
Bluffs Park Shade Structure, Spring 2022, 2022-02, Not specified, Not specified, capital, design  
Permanent Skate Park, Not specified, Not specified, Not specified, Not specified, capital, design  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Not specified, Not specified, road, capital, design  
Broad Beach Road Water Quality Infrastructure Repairs (CalJPIA Project), Summer 2022, 2022-03, Not specified, Not specified, disaster, design  
Latigo Canyon Road Roadway/Retaining Wall Improvements (FEMA Project), Spring 2022, 2022-04, Not specified, road, disaster, design  
Trancas Canyon Park Planting and Irrigation Repairs (CalJPIA/FEMA Project), Summer 2022, Not specified, Not specified, Not specified, disaster, design  
Trancas Canyon Park Slope Stabilization Project (CalJPIA Project), Summer 2022, Not specified, Not specified, Not specified, disaster, design  
Latigo Canyon Road Culvert Repairs (FEMA Project), Spring 2022, 2022-03, Not specified, road, disaster, design  
Malibu Road Slope Repairs (CalOES Project), Fall 2022, Not specified, Not specified, Not specified, disaster, design  
Westward Beach Road Shoulder Repairs (CalOES Project), Fall 2022, 2022-07, Not specified, road, disaster, design
