Marie Canyon Green Streets, Spring 2022, 2022-01, Not specified, Not specified, capital, design  
PCH Median Improvements Project, 2022-02, 2021-12, Not specified, Not specified, capital, design  
PCH Signal Synchronization System Improvements Project, 2022-03, 2022-01, 2022-02, Not specified, capital, design  
Westward Beach Road Improvements Project, Not specified, 2022-03, Not specified, road, capital, design  
Civic Center Water Treatment Facility Phase 2, Fall 2022, 2022-02, 2022-02, Not specified, capital, design  
Bluffs Park Shade Structure, Spring 2022, 2022-01, Not specified, Not specified, capital, design  
Permanent Skate Park, Not specified, 2021-12, Not specified, Not specified, capital, design  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Not specified, Not specified, road, capital, design  
Malibu Park Drainage Improvements, Not specified, Not specified, Not specified, road, disaster, Not specified  
2021 Annual Street Maintenance, Not specified, Not specified, Not specified, road, capital, Not specified  
Vehicle Protection Devices, Not specified, Not specified, Not specified, Not specified, capital, not started  
Legacy Park Paver Repair Project, Not specified, Not specified, Not specified, Not specified, capital, not started  
Malibu Bluffs Park South Walkway, Not specified, Not specified, Not specified, Not specified, capital, not started  
Trancas Playground Resurfacing, Not specified, Not specified, Not specified, Not specified, capital, not started  
PCH Overhead Warning Signs, Not specified, Not specified, Not specified, road, capital, not started  
Broad Beach Road Water Quality Infrastructure Repairs, 2022-02, 2022-01, Not specified, Not specified, disaster, design  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Spring 2022, 2022-01, Not specified, road, disaster, design  
Trancas Canyon Park Planting and Irrigation Repairs, Spring 2022, 2022-01, Not specified, Not specified, disaster, design  
Trancas Canyon Park Slope Stabilization Project, Spring 2022, 2022-01, Not specified, Not specified, disaster, design  
Westward Beach Road Shoulder Repairs, Fall 2022, 2022-03, Not specified, road, disaster, design  
Outdoor Warning Sirens, Not specified, Not specified, Not specified, Not specified, disaster, design  
Storm Drain Master Plan, Not specified, Not specified, Not specified, Not specified, disaster, design  
Clover Heights Storm Drain, Summer 2022, 2022-03, Not specified, Not specified, disaster, design  
Latigo Canyon Road Culvert Repairs, Spring 2022, 2022-01, Not specified, road, disaster, not started  
Encinal Canyon Road Drainage Improvements, Spring 2022, 2022-01, Not specified, road, disaster, not started  
Malibu Road Slope Repairs, Fall 2022, 2022-03, Not specified, road, disaster, not started  
