2022 Morning View Resurfacing & Storm Drain Improvements, Fall 2023, Summer 2023, Fall 2023, Not specified, Not specified, in progress  
PCH Median Improvements Project, Fall 2023, Summer 2023, Fall 2023, Not specified, Not specified, in progress  
Westward Beach Road Repair Project, Fall 2023, Summer 2023, Summer 2023, Not specified, Not specified, in progress  
Westward Beach Road Drainage Improvements Project, Fall 2023, Not specified, Summer 2023, Not specified, Not specified, in progress  
Clover Heights Storm Drainage Improvements, Fall 2023, Summer 2023, Summer 2023, Not specified, Not specified, in progress  
Latigo Canyon Road Retaining Wall Repair Project, Summer 2023, Not specified, Spring 2023, Not specified, Not specified, in progress  
Trancas Canyon Park Upper and Lower Slopes Repair, Summer 2023, Not specified, Spring 2023, Not specified, Not specified, in progress  
Civic Center Water Treatment Facility Phase 2, Not specified, Not specified, Not specified, Not specified, Not specified, delayed  
Permanent Skate Park, Winter 2024, Spring 2023, Not specified, Not specified, Not specified, in progress  
PCH at Trancas Canyon Road Right Turn Lane, Fall 2023, Fall 2023, Not specified, Not specified, Not specified, in progress  
Malibu Bluffs Park South Walkway Repairs, Not specified, Summer 2023, Not specified, Not specified, Not specified, in progress  
Trancas Canyon Park Playground, Not specified, Summer 2023, Summer 2023, Not specified, Not specified, in progress  
Malibu Canyon Road Traffic Study, Not specified, Not specified, Not specified, Traffic study, Not specified, planned  
Malibu Road Slope Repairs, Not specified, Not specified, Not specified, Not specified, Not specified, under construction  
Encinal Canyon Road Repairs, Summer 2023, Not specified, Not specified, Not specified, Not specified, under construction  
PCH Signal Synchronization System Improvements Project, Summer 2025, Not specified, Not specified, Not specified, Not specified, under construction  
Storm Drain Trash Screens Phase Two, Summer 2023, Not specified, Not specified, Not specified, Not specified, out to bid  
Bluffs Park Shade Structure, November 2022, Not specified, Not specified, Not specified, Not specified, completed  
Marie Canyon Green Streets, January 2023, Not specified, Not specified, Not specified, Not specified, completed  
Broad Beach Road Water Quality Repair, November 2022, Not specified, Not specified, Not specified, Not specified, completed  
Point Dume Walkway Repairs, November 2022, Not specified, Not specified, Not specified, Not specified, completed  
PCH Median Improvements at Paradise Cove and Zuma Beach, Not specified, Not specified, Not specified, Not specified, Not specified, not started  
PCH Crosswalk Improvements at Big Rock Drive and 20326 PCH, Not specified, Not specified, Not specified, Not specified, Not specified, not started  
Kanan Dume Biofilter, Not specified, Not specified, Not specified, Not specified, Not specified, not started  
City Traffic Signals Backup Power, Not specified, Not specified, Not specified, Not specified, Not specified, preliminary design phase  
