Marie Canyon Green Streets, Spring 2022, March 2022, Shortly after March 2022, Hydrology and biofilter installation, Capital Improvement, In progress  
PCH Median Improvements Project, Spring/Summer 2022, March 2022, After March 2022, Median improvements on PCH, Capital Improvement, In progress  
PCH Signal Synchronization System Improvements Project, Spring/Summer 2022, Spring 2022, Spring/Summer 2022, Signal synchronization on PCH, Capital Improvement, In progress  
Westward Beach Road Improvements Project, Summer/Winter 2022, Spring 2022, Not specified, Road improvements, Capital Improvement, In progress  
Civic Center Water Treatment Facility Phase 2, Fall 2022, December 2021, February 2022, Water treatment facility, Capital Improvement, In progress  
Bluffs Park Shade Structure, Spring 2022, Spring 2022, Spring 2022, Shade structure installation, Capital Improvement, In progress  
Permanent Skate Park, To be determined, Spring 2022, Not specified, Skate park construction, Capital Improvement, In progress  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Spring 2022, Not specified, Right turn lane installation, Capital Improvement, Not started  
Vehicle Protection Devices, Not specified, Not specified, Not specified, Vehicle impact protection, Capital Improvement, Not started  
Legacy Park Paver Repair Project, Not specified, Not specified, Not specified, Paver repair, Capital Improvement, Not started  
Malibu Bluffs Park South Walkway, Not specified, Not specified, Not specified, Sidewalk replacement, Capital Improvement, Not started  
Trancas Playground Resurfacing, Not specified, Not specified, Not specified, Playground surfacing, Capital Improvement, Not started  
PCH Median Improvements at Paradise Cove and Zuma Beach, Not specified, Not specified, Not specified, Median improvements, Capital Improvement, Not started  
Civic Center Way Improvements, Completed, Not specified, Not specified, Way improvements, Capital Improvement, Completed  
Civic Center Stormwater Diversion Structure, January 24, 2022, Not specified, Not specified, Stormwater diversion, Capital Improvement, Completed  
2021 Annual Street Maintenance, January 24, 2022, Not specified, Not specified, Street maintenance, Capital Improvement, Completed  
Broad Beach Road Water Quality Infrastructure Repairs, Spring 2022, February 2022, Not specified, Water quality infrastructure, Disaster Recovery, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements, April 2022, February 2022, Not specified, Roadway and wall improvements, Disaster Recovery, In progress  
Trancas Canyon Park Planting and Irrigation Repairs, Spring 2022, Spring 2022, Not specified, Planting and irrigation repairs, Disaster Recovery, In progress  
Trancas Canyon Park Slope Stabilization Project, Spring 2022, Spring 2022, Not specified, Slope stabilization, Disaster Recovery, In progress  
Storm Drain Master Plan, Spring 2022, Not specified, Not specified, Storm drain inventory, Disaster Recovery, In progress  
Guardrail Replacement Citywide, Completed, Not specified, Not specified, Guardrail replacement, Disaster Recovery, Completed  
Corral Canyon Road Bridge Repairs, Not specified, Not specified, Not specified, Bridge repairs, Disaster Recovery, Not started  
Corral Canyon Culvert Repairs, Cancelled, Not specified, Not specified, Culvert repairs, Disaster Recovery, Cancelled  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Avenue improvements, Disaster Recovery, Not started  
Malibu Park Drainage Improvements, January 24, 2022, Not specified, Not specified, Drainage improvements, Disaster Recovery, Completed  
Clover Heights Storm Drain, Not specified, Not specified, Not specified, Storm drain construction, Disaster Recovery, Not started  
Latigo Canyon Road Culvert Repairs, April 2022, February 2022, Not specified, Culvert repairs, Disaster Recovery, In progress  
Encinal Canyon Road Drainage Improvements, TBD, Spring 2022, Not specified, Drainage improvements, Disaster Recovery, Not started  
Malibu Road Slope Repairs, Fall 2022, Spring 2022, Not specified, Slope repairs, Disaster Recovery, In progress  
Westward Beach Road Shoulder Repairs, Fall 2022, July 2022, Not specified, Shoulder repairs, Disaster Recovery, In progress  
Outdoor Warning Sirens - Design, TBD, Not specified, Not specified, Warning sirens design, Disaster Recovery, In progress
