Marie Canyon Green Streets, Summer 2021, April 2021, Not specified, Green infrastructure, Capital Improvement, In progress  
PCH Median Improvements Project, Fall 2021, February 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
PCH Signal Synchronization System Improvements Project, September 2021, May 2021, July 2021, Traffic management, Capital Improvement, In progress  
Civic Center Stormwater Diversion Structure, Summer 2021, Completed, Not specified, Stormwater management, Capital Improvement, In progress  
Westward Beach Road Improvements Project, Fall 2021, Spring 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
Civic Center Water Treatment Facility Phase 2, March 2022, December 2021, Not specified, Water treatment, Capital Improvement, In progress  
Malibu Park Drainage Improvements, Summer 2021, Spring 2021, Not specified, Drainage improvements, Capital Improvement, In progress  
City Hall Roof Replacement, February – April 2021, Not specified, Not specified, Roof replacement, Capital Improvement, In progress  
Bluffs Park Workout Station, November 2020 – March 2021, Not specified, Not specified, Recreational facility, Capital Improvement, In progress  
Civic Center Way Improvements, August 2020 through March 2021, Not specified, Not specified, Roadway improvements, Capital Improvement, In progress  
Storm Drain Trash Screens, Not specified, Not specified, Not specified, Trash management, Capital Improvement, Completed  
Dume Drive and Fernhill Drive Speed Humps Project, Not specified, Not specified, Not specified, Traffic calming, Capital Improvement, Completed  
Annual Street Maintenance, Summer 2021, Spring 2021, Not specified, Street maintenance, Capital Improvement, Not started  
Bluffs Park Shade Structure, Fall 2021, Summer 2021, Not specified, Recreational facility, Capital Improvement, Not started  
Vehicle Protection Devices, Fall 2021, Summer 2021, Not specified, Safety improvements, Capital Improvement, Not started  
Malibu Road Slope Repairs, Winter 2021, Fall 2021, Not specified, Slope stabilization, Capital Improvement, Not started  
Broad Beach Road Water Quality Infrastructure Repairs, Fall 2021, Summer 2021, Not specified, Water quality, Disaster Project, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Summer 2021, Spring 2021, Not specified, Roadway improvements, Disaster Project, In progress  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, Summer 2021, Not specified, Landscaping, Disaster Project, In progress  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, Spring 2021, Not specified, Slope stabilization, Disaster Project, In progress  
Birdview Avenue Improvements, Summer 2021, Spring 2021, Not specified, Roadway improvements, Disaster Project, In progress  
Guardrail Replacement Citywide, Not specified, Not specified, Not specified, Guardrail replacement, Disaster Project, Completed  
Corral Canyon Road Bridge Repairs, Not specified, Not specified, Not specified, Bridge repairs, Disaster Project, Completed  
Corral Canyon Culvert Repairs, Not specified, Not specified, Not specified, Culvert repairs, Disaster Project, Completed  
Clover Heights Storm Drain, Summer 2022, Spring 2022, Not specified, Storm drain installation, Disaster Project, Not started  
Latigo Canyon Road Culvert Repairs, Spring 2022, Winter 2021, Not specified, Culvert repairs, Disaster Project, Not started  
Encinal Canyon Road Drainage Improvements, Spring 2022, Winter 2021, Not specified, Drainage improvements, Disaster Project, Not started  
Outdoor Warning Sirens, Dependent upon final grant approval from FEMA, Not specified, Not specified, Emergency warning system, Disaster Project, Not started  
