Marie Canyon Green Streets, Winter 2021, July 2021, Not specified, Green infrastructure, Capital Improvement, In progress  
PCH Median Improvements Project, Winter 2021, late Summer 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
PCH Signal Synchronization System Improvements Project, Fall 2021, July 2021, August 2021, Traffic management, Capital Improvement, In progress  
Civic Center Stormwater Diversion Structure, Summer 2021, Completed, Not specified, Stormwater management, Capital Improvement, In progress  
Westward Beach Road Improvements Project, Fall 2021, Spring 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
Civic Center Water Treatment Facility Phase 2, March 2022, December 2021, Not specified, Water treatment, Capital Improvement, In progress  
Malibu Park Drainage Improvements, June/July 2021, Not specified, Not specified, Drainage improvements, Capital Improvement, In progress  
2021 Annual Street Maintenance, Summer 2021, Spring 2021, Not specified, Street maintenance, Capital Improvement, In progress  
City Hall Roof Replacement, May 24, 2021, June 2021, Not specified, Roof replacement, Capital Improvement, In progress  
Bluffs Park Workout Station, Not specified, Completed, Not specified, Recreational facility, Capital Improvement, Completed  
Civic Center Way Improvements, Not specified, May/June 2021, Not specified, Roadway improvements, Capital Improvement, In progress  
Bluffs Park Shade Structure, Fall 2021, Summer 2021, Not specified, Recreational facility, Capital Improvement, Not started  
Vehicle Protection Devices, Fall 2021, Summer 2021, Not specified, Safety infrastructure, Capital Improvement, Not started  
Malibu Road Slope Repairs, Winter 2021, Fall 2021, Not specified, Slope stabilization, Capital Improvement, Not started  
Broad Beach Road Water Quality Infrastructure Repairs, Fall 2021, Summer 2021, Not specified, Water quality, Disaster Project, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Summer 2021, Spring 2021, Not specified, Roadway/retaining wall, Disaster Project, In progress  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, Summer 2021, Not specified, Landscaping, Disaster Project, In progress  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, Summer 2021, Not specified, Slope stabilization, Disaster Project, In progress  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Roadway improvements, Disaster Project, In progress  
Outdoor Warning Sirens, Not specified, Unknown, Not specified, Emergency warning system, Disaster Project, In progress  
Guardrail Replacement Citywide, Not specified, Completed, Not specified, Guardrail replacement, Disaster Project, Completed  
Corral Canyon Road Bridge Repairs, Not specified, Completed, Not specified, Bridge repairs, Disaster Project, Completed  
Corral Canyon Culvert Repairs, Not specified, Completed, Not specified, Culvert repairs, Disaster Project, Completed  
Clover Heights Storm Drain, Summer 2022, Spring 2022, Not specified, Storm drain, Disaster Project, Not started  
Latigo Canyon Road Culvert Repairs, Spring 2022, Winter 2021, Not specified, Culvert repairs, Disaster Project, Not started  
Encinal Canyon Road Drainage Improvements, Spring 2022, Winter 2021, Not specified, Drainage improvements, Disaster Project, Not started  
Storm Drain Master Plan, Not specified, Spring 2022, Not specified, Storm drain inventory, Disaster Project, Not started
