Marie Canyon Green Streets, Summer 2022, May 2022, Not specified, Not specified, Not specified, In progress  
PCH Median Improvements Project, Fall 2022, March 2022, Summer 2022, Not specified, Not specified, In progress  
PCH Signal Synchronization System Improvements Project, Fall 2022, Spring 2022, Summer 2022, Not specified, Not specified, In progress  
Westward Beach Road Repair Project, Fall 2022, Summer 2022, Not specified, Not specified, Not specified, In progress  
Civic Center Water Treatment Facility Phase 2, Spring 2023, December 2021, December 2022, Not specified, Not specified, In progress  
Permanent Skate Park, To be determined, Spring 2022, Not specified, Not specified, Not specified, In progress  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Not specified, Not specified, Not specified, Not specified, In progress  
Michael Landon Center Roof Replacement Project, Fall 2022, Summer 2022, Not specified, Not specified, Not specified, In progress  
Bluffs Park Shade Structure, Summer 2022, February 2022, Not specified, Not specified, Not specified, In progress  
Michael Landon Center HVAC Replacement Project, Summer 2022, Not specified, Not specified, Not specified, Not specified, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements (FEMA Project), Summer 2022, April 2022, Summer 2022, Not specified, Not specified, In progress  
Trancas Canyon Park Planting and Irrigation Repairs (CalJPIA/FEMA Project), Summer 2022, Summer 2022, Not specified, Not specified, Not specified, In progress  
Trancas Canyon Park Slope Stabilization Project (CalJPIA Project), Summer 2022, Summer 2022, Not specified, Not specified, Not specified, In progress  
Storm Drain Master Plan (FEMA Project), Not specified, Summer 2022, Not specified, Not specified, Not specified, In progress  
Clover Heights Storm Drain (FEMA Project), Not specified, Not specified, Not specified, Not specified, Not specified, In progress  
Encinal Canyon Road Drainage Improvements (CalOES Project), Fall 2022, Summer 2022, Not specified, Not specified, Not specified, In progress  
Malibu Road Slope Repairs (CalOES Project), Fall 2022, Summer 2022, Not specified, Not specified, Not specified, In progress  
Westward Beach Road Shoulder Repairs (CalOES Project), Spring 2023, Fall 2022, Not specified, Not specified, Not specified, In progress  
Outdoor Warning Sirens - Design (FEMA Project), Not specified, Not specified, Not specified, Not specified, Not specified, In progress
