2022 Morning View Resurfacing & Storm Drain Improvements, Fall 2023, Summer 2023, Fall 2023, Storm Drain Improvements, Capital Improvement, Not specified  
PCH Median Improvements Project, Winter 2023, Fall 2023, Fall/Winter 2023, Median Improvements, Capital Improvement, Not specified  
Westward Beach Road Repair Project, Fall/Winter 2023, Summer 2023, Fall 2023, Road Repair, Capital Improvement, Not specified  
Westward Beach Road Drainage Improvements Project, Fall 2023, Summer 2023, Summer 2023, Drainage Improvements, Capital Improvement, Not specified  
Clover Heights Storm Drainage Improvements, Fall/Winter 2023, Summer 2023, Fall 2023, Storm Drainage Improvements, Capital Improvement, Not specified  
Latigo Canyon Road Retaining Wall Repair Project, Fall 2023, Not specified, Fall 2023, Retaining Wall Repair, Capital Improvement, Not specified  
Storm Drain Master Plan, Not specified, Not specified, Not specified, Storm Drain Master Plan, Capital Improvement, Not specified  
Trancas Canyon Park Upper and Lower Slopes Repair, Summer 2023, Not specified, July 2023, Slopes Repair, Capital Improvement, Not specified  
Civic Center Water Treatment Facility Phase 2, Not specified, Not specified, Not specified, Water Treatment Facility, Capital Improvement, Not specified  
Permanent Skate Park, Winter/Spring 2024, Fall/Winter 2023, Not specified, Skate Park, Capital Improvement, Not specified  
PCH at Trancas Canyon Road Right Turn Lane, Winter 2023, Fall 2023, Not specified, Right Turn Lane, Capital Improvement, Not specified  
Outdoor Warning Sirens, Not specified, Not specified, Not specified, Warning Sirens, Capital Improvement, Not specified  
Malibu Bluffs Park South Walkway Repairs, Fall 2023, July 2023, Not specified, Walkway Repairs, Capital Improvement, Not specified  
Trancas Canyon Park Playground, Winter/Spring 2024, Winter 2023, Winter 2023, Playground, Capital Improvement, Not specified  
Malibu Canyon Road Traffic Study, Not specified, Not specified, Not specified, Traffic Study, Capital Improvement, Not specified  
Kanan Dume Biofilter, Spring/Summer 2024, Spring 2024, Not specified, Biofilter, Capital Improvement, Not specified  
PCH Median Improvements at Paradise Cove and Zuma Beach, Not specified, Not specified, Not specified, Median Improvements, Capital Improvement, Not specified  
City Traffic Signals Backup Power, Not specified, July 2023, Not specified, Traffic Signals Backup Power, Capital Improvement, Not specified  
PCH Signal Synchronization System Improvements Project, July 2023, Not specified, Not specified, Signal Synchronization, Capital Improvement, Not specified  
Storm Drain Trash Screens Phase Two, July 2023, Not specified, Not specified, Trash Screens, Capital Improvement, Not specified  
Malibu Road Slope Repairs, Not specified, Not specified, Not specified, Slope Repairs, Capital Improvement, Completed  
Encinal Canyon Road Repairs, Not specified, Not specified, Not specified, Road Repairs, Capital Improvement, Completed  
Bluffs Park Shade Structure, Not specified, Not specified, Not specified, Shade Structure, Capital Improvement, Completed  
Marie Canyon Green Streets, Not specified, Not specified, Not specified, Green Streets, Capital Improvement, Completed  
Broad Beach Road Water Quality Repair, Not specified, Not specified, Not specified, Water Quality Repair, Capital Improvement, Completed  
Point Dume Walkway Repairs, Not specified, Not specified, Not specified, Walkway Repairs, Capital Improvement, Completed  
PCH Crosswalk Improvements at Big Rock Drive and 20326 PCH, Not specified, Not specified, Not specified, Crosswalk Improvements, Capital Improvement, Not specified  
