2022 Annual Street Maintenance, Fall 2022, Summer 2022, Not specified, Street Maintenance, Capital Improvement, In progress  
Marie Canyon Green Streets, Summer 2022, Not specified, June 9, 2022, Green Streets, Capital Improvement, In progress  
PCH Median Improvements Project, Fall 2022, March 2022, Summer 2022, Median Improvements, Capital Improvement, In progress  
PCH Signal Synchronization System Improvements Project, Late Fall 2022, Spring 2022, Fall 2022, Signal Synchronization, Capital Improvement, In progress  
Westward Beach Road Repair Project, Fall 2022, Summer 2022, Not specified, Road Repair, Capital Improvement, In progress  
Civic Center Water Treatment Facility Phase 2, Spring 2023, December 2021, December 2022, Water Treatment, Capital Improvement, In progress  
Permanent Skate Park, To be determined, Spring 2022, Not specified, Skate Park, Capital Improvement, In progress  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Spring 2023, Not specified, Right Turn Lane, Capital Improvement, In progress  
Michael Landon Center Roof Replacement Project, Winter 2022, Fall 2022, Not specified, Roof Replacement, Capital Improvement, In progress  
Bluffs Park Shade Structure, Not specified, Not specified, Not specified, Shade Structure, Capital Improvement, In progress  
Michael Landon Center HVAC Replacement Project, Not specified, Not specified, Not specified, HVAC Replacement, Capital Improvement, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements (FEMA Project), Summer 2022, April 2022, Summer 2022, Roadway/Retaining Wall Improvements, Disaster, In progress  
Trancas Canyon Park Planting and Irrigation Repairs (CalJPIA/FEMA Project), Summer 2022, Not specified, Not specified, Planting and Irrigation Repairs, Disaster, In progress  
Trancas Canyon Park Slope Stabilization Project (CalJPIA Project), Summer 2022, Not specified, Not specified, Slope Stabilization, Disaster, In progress  
Storm Drain Master Plan (FEMA Project), Not specified, Summer 2022, Not specified, Storm Drain Master Plan, Disaster, In progress  
Clover Heights Storm Drain (FEMA Project), Not specified, Not specified, Not specified, Storm Drain, Disaster, In progress  
Encinal Canyon Road Drainage Improvements (CalOES Project), Fall 2022, Summer 2022, Not specified, Drainage Improvements, Disaster, In progress  
Malibu Road Slope Repairs (CalOES Project), Fall 2022, Summer 2022, Not specified, Slope Repairs, Disaster, In progress  
Westward Beach Road Shoulder Repairs (CalOES Project), Spring 2023, Fall 2022, Not specified, Shoulder Repairs, Disaster, In progress  
Outdoor Warning Sirens - Design (FEMA Project), Not specified, Not specified, Not specified, Warning Sirens, Disaster, In progress  
Broad Beach Road Water Quality Infrastructure Repairs (CalJPIA Project), Fall 2022, Not specified, Not specified, Water Quality Infrastructure Repairs, Disaster, In progress  
Point Dume Decomposed Granite Walkway Repair Project, Fall 2022, Not specified, Not specified, Walkway Repair, Disaster, In progress  
