Marie Canyon Green Streets, Winter 2021, September 2021, Not specified, Not specified, Capital Improvement, Design  
PCH Median Improvements Project, Winter 2021/2022, Fall 2021, Not specified, Not specified, Capital Improvement, Design  
PCH Signal Synchronization System Improvements Project, Winter 2021/2022, October 2021, November 2021, Not specified, Capital Improvement, Design  
Civic Center Stormwater Diversion Structure, October 2021, Completed, Not specified, Not specified, Capital Improvement, Design  
Westward Beach Road Improvements Project, Winter 2021/2022, Fall 2021, Not specified, Not specified, Capital Improvement, Design  
Civic Center Water Treatment Facility Phase 2, Fall 2022, December 2021, February 2022, Not specified, Capital Improvement, Design  
Bluffs Park Shade Structure, Fall 2021, Fall 2021, Not specified, Not specified, Capital Improvement, Design  
Permanent Skate Park, To be determined, Fall 2021, Not specified, Not specified, Capital Improvement, Design  
Malibu Park Drainage Improvements, August 2021 through October 2021, Not specified, Not specified, Not specified, Capital Improvement, Construction  
2021 Annual Street Maintenance, August 2021 through October 2021, Not specified, Not specified, Not specified, Capital Improvement, Construction  
Vehicle Protection Devices, Not specified, Not specified, Not specified, Not specified, Capital Improvement, Not Started  
Legacy Park Paver Repair Project, Not specified, Not specified, Not specified, Not specified, Capital Improvement, Not Started  
Malibu Bluffs Park South Walkway, Not specified, Not specified, Not specified, Not specified, Capital Improvement, Not Started  
Trancas Playground Resurfacing, Not specified, Not specified, Not specified, Not specified, Capital Improvement, Not Started  
PCH Overhead Warning Signs, Not specified, Not specified, Not specified, Not specified, Capital Improvement, Not Started  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Not specified, Not specified, Not specified, Capital Improvement, Not Started  
Civic Center Way Improvements, Completed, Not specified, Not specified, Not specified, Capital Improvement, Completed  
Broad Beach Road Water Quality Infrastructure Repairs, Fall/Winter 2021, Fall 2021, Not specified, Not specified, Disaster, Design  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Winter 2021/2022, Fall 2021, Not specified, Not specified, Disaster, Design  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, Summer 2021, Not specified, Not specified, Disaster, Design  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, Summer 2021, Not specified, Not specified, Disaster, Design  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Not specified, Disaster, Design  
Outdoor Warning Sirens, Unknown, Not specified, Not specified, Not specified, Disaster, Design  
Storm Drain Master Plan, Spring 2022, Not specified, Not specified, Not specified, Disaster, Design  
Guardrail Replacement Citywide, Completed, Not specified, Not specified, Not specified, Disaster, Completed  
Corral Canyon Road Bridge Repairs, Completed, Not specified, Not specified, Not specified, Disaster, Completed  
Corral Canyon Culvert Repairs, Cancelled, Not specified, Not specified, Not specified, Disaster, Completed  
Clover Heights Storm Drain, Summer 2022, Spring 2022, Not specified, Not specified, Disaster, Not Started  
Latigo Canyon Road Culvert Repairs, Spring 2022, Winter 2021/2022, Not specified, Not specified, Disaster, Not Started  
Encinal Canyon Road Drainage Improvements, Spring 2022, Winter 2021/2022, Not specified, Not specified, Disaster, Not Started  
Malibu Road Slope Repairs, Winter 2021, Fall 2021, Not specified, Not specified, Disaster, Not Started  
Westward Beach Road Shoulder Repairs, Winter 2021, Fall 2021, Not specified, Not specified, Disaster, Not Started  
