2022 Morning View Resurfacing & Storm Drain Improvements, May/June 2024, Fall 2023, Spring 2024, Storm Drain Improvements, Capital Improvement, Not specified  
PCH Median Improvements Project, Spring 2024, Winter 2023, Winter 2023, Median Improvements, Capital Improvement, Not specified  
Westward Beach Road Repair Project, Fall/Winter 2023, Summer 2023, Fall 2023, Road Repair, Capital Improvement, Not specified  
Westward Beach Road Drainage Improvements Project, Spring 2024, Not specified, Winter 2024, Drainage Improvements, Capital Improvement, Not specified  
Clover Heights Storm Drainage Improvements, Summer 2024, Not specified, Spring 2024, Storm Drainage Improvements, Capital Improvement, Not specified  
Latigo Canyon Road Retaining Wall Repair Project, Not specified, Not specified, Not specified, Retaining Wall Repair, Capital Improvement, Not specified  
Civic Center Water Treatment Facility Phase 2, Not specified, Not specified, Not specified, Water Treatment Facility, Capital Improvement, Not specified  
Permanent Skate Park, Pending CDP approval, Fall/Winter 2023, Not specified, Skate Park, Capital Improvement, Not specified  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Not specified, Not specified, Right Turn Lane, Capital Improvement, Not specified  
Outdoor Warning Sirens, Not specified, Not specified, Not specified, Warning Sirens, Capital Improvement, Not specified  
Malibu Bluffs Park South Walkway Repairs, Fall 2023, August 2023, Not specified, Walkway Repairs, Capital Improvement, Not specified  
Trancas Canyon Park Playground, Winter/Spring 2024, Winter 2023, Winter 2023, Playground, Capital Improvement, Not specified  
Malibu Canyon Road Traffic Study, Not specified, Not specified, Not specified, Traffic Study, Capital Improvement, Not specified  
Kanan Dume Biofilter, Fall 2024, Spring/Summer 2024, Not specified, Biofilter, Capital Improvement, Not specified  
PCH Median Improvements at Paradise Cove and Zuma Beach, Not specified, Not specified, Not specified, Median Improvements, Capital Improvement, Not specified  
City Traffic Signals Backup Power, Not specified, July 2023, Not specified, Traffic Signals Backup Power, Capital Improvement, Not specified  
Malibu Park Resurfacing Project, November 2024, Summer 2023, Fall 2024, Resurfacing, Capital Improvement, Not specified  
City Hall Solar Project, Fall 2024, Spring 2024, Summer 2024, Solar Project, Capital Improvement, Not specified  
Harbor Vista Curb Return, Dependent on SCE’s relocation schedule, Completed, Dependent on SCE’s relocation schedule, Curb Return, Capital Improvement, Not specified  
Legacy Park Benches and Arbors Renovation, November/December 2023, Summer 2023, Bids due October 19, 2023, Benches and Arbors Renovation, Capital Improvement, Not specified  
Citywide Asphalt Concrete Berms Repairs, Fall 2024, Spring 2024, Summer 2024, Asphalt Concrete Berms Repairs, Capital Improvement, Not specified  
Malibu Bluffs Park Roof Replacement Project, Spring/Summer 2024, Winter 2023, Spring 2024, Roof Replacement, Capital Improvement, Not specified  
PCH Signal Synchronization System Improvements Project, July 2023, Not specified, Not specified, Signal Synchronization, Capital Improvement, In progress  
Trancas Canyon Park Upper and Lower Slopes Repair, Fall/Winter 2023, Not specified, Not specified, Slopes Repair, Capital Improvement, In progress
