Marie Canyon Green Streets, Winter 2021, December 2021, Not specified, Green infrastructure, Capital Improvement, In progress  
PCH Median Improvements Project, Winter 2021/2022, Fall 2021, Not specified, Road improvements, Capital Improvement, In progress  
PCH Signal Synchronization System Improvements Project, Winter 2021/2022, December 2021, February 2022, Traffic management, Capital Improvement, In progress  
Civic Center Stormwater Diversion Structure, October 2021, Completed, Not specified, Stormwater management, Capital Improvement, In progress  
Westward Beach Road Improvements Project, Winter 2021/2022, Fall 2021, Not specified, Road improvements, Capital Improvement, In progress  
Civic Center Water Treatment Facility Phase 2, Fall 2022, December 2021, February 2022, Water treatment, Capital Improvement, In progress  
Bluffs Park Shade Structure, Spring 2022, Spring 2022, Not specified, Park amenities, Capital Improvement, In progress  
Permanent Skate Park, To be determined, Fall 2021, Not specified, Recreational facility, Capital Improvement, In progress  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Winter 2021, October 7, 2021, Road improvements, Capital Improvement, Not started  
Malibu Park Drainage Improvements, August 2021, October 2021, Not specified, Drainage repairs, Capital Improvement, Completed  
2021 Annual Street Maintenance, August 2021, October 2021, Not specified, Street maintenance, Capital Improvement, Completed  
Vehicle Protection Devices, Not specified, Not specified, Not specified, Safety infrastructure, Capital Improvement, Not started  
Legacy Park Paver Repair Project, Not specified, Not specified, Not specified, Park maintenance, Capital Improvement, Not started  
Malibu Bluffs Park South Walkway, Not specified, Not specified, Not specified, Walkway replacement, Capital Improvement, Not started  
Trancas Playground Resurfacing, Not specified, Not specified, Not specified, Playground maintenance, Capital Improvement, Not started  
PCH Overhead Warning Signs, Not specified, Not specified, Not specified, Traffic safety, Capital Improvement, Not started  
Civic Center Way Improvements, Not specified, Completed, Not specified, Road improvements, Capital Improvement, Completed  
Broad Beach Road Water Quality Infrastructure Repairs, Fall/Winter 2021, Fall 2021, Not specified, Water quality, Disaster Recovery, In progress  
Latigo Canyon Road Roadway/Retaining Wall Improvements, Winter 2021/2022, Fall 2021, Not specified, Roadway stabilization, Disaster Recovery, In progress  
Trancas Canyon Park Planting and Irrigation Repairs, Summer/Fall 2021, Summer 2021, Not specified, Park maintenance, Disaster Recovery, In progress  
Trancas Canyon Park Slope Stabilization Project, Summer/Fall 2021, Summer 2021, Not specified, Slope stabilization, Disaster Recovery, In progress  
Birdview Avenue Improvements, Not specified, Not specified, Not specified, Road improvements, Disaster Recovery, In progress  
Outdoor Warning Sirens, Not specified, Winter 2021, Not specified, Emergency warning system, Disaster Recovery, Not started  
Storm Drain Master Plan, Spring 2022, Not specified, Not specified, Drainage planning, Disaster Recovery, Not started  
Guardrail Replacement Citywide, Not specified, Completed, Not specified, Guardrail replacement, Disaster Recovery, Completed  
Corral Canyon Road Bridge Repairs, Not specified, Completed, Not specified, Bridge repairs, Disaster Recovery, Completed  
Corral Canyon Culvert Repairs, Not specified, Cancelled, Not specified, Culvert repairs, Disaster Recovery, Cancelled  
Clover Heights Storm Drain, Summer 2022, Spring 2022, Not specified, Drainage improvements, Disaster Recovery, Not started  
Latigo Canyon Road Culvert Repairs, Spring 2022, Winter 2021/2022, Not specified, Culvert repairs, Disaster Recovery, Not started  
Encinal Canyon Road Drainage Improvements, Spring 2022, Winter 2021/2022, Not specified, Drainage improvements, Disaster Recovery, Not started  
Malibu Road Slope Repairs, Winter 2021, Fall 2021, Not specified, Slope repairs, Disaster Recovery, Not started  
Westward Beach Road Shoulder Repairs, Winter 2021, Fall 2021, Not specified, Shoulder repairs, Disaster Recovery, Not started  
