2022 Annual Street Maintenance, Spring 2023, Winter 2022, Not specified, Street Maintenance, Capital Improvement, Design  
Marie Canyon Green Streets, Summer 2022, Not specified, June 9, 2022, Green Streets, Capital Improvement, Construction  
PCH Median Improvements Project, TBD, March 2022, TBD, Median Improvements, Capital Improvement, Design  
PCH Signal Synchronization System Improvements Project, Winter 2022, Spring 2022, Fall 2022, Signal Synchronization, Capital Improvement, Design  
Westward Beach Road Repair Project, Spring 2023, Winter 2022, Not specified, Road Repair, Capital Improvement, Design  
Civic Center Water Treatment Facility Phase 2, Fall 2023, December 2021, Summer 2023, Water Treatment, Capital Improvement, Design  
Permanent Skate Park, To be determined, Spring 2023, Not specified, Skate Park, Capital Improvement, Design  
PCH at Trancas Canyon Road Right Turn Lane, Not specified, Spring 2023, Not specified, Right Turn Lane, Capital Improvement, Design  
Michael Landon Center Roof Replacement Project, Spring 2023, Winter 2022, Not specified, Roof Replacement, Capital Improvement, Design  
Bluffs Park Shade Structure, Not specified, Fall 2022, Not specified, Shade Structure, Capital Improvement, Construction  
Michael Landon Center HVAC Replacement Project, Completed, Not specified, Not specified, HVAC Replacement, Capital Improvement, Construction  
Latigo Canyon Road Roadway/Retaining Wall Improvements (FEMA Project), Spring 2023, April 2022, Winter 2022, Roadway/Retaining Wall Improvements, Disaster, Design  
Trancas Canyon Park Planting and Irrigation Repairs (CalJPIA/FEMA Project), Summer 2023, Winter 2022, Not specified, Planting and Irrigation Repairs, Disaster, Design  
Trancas Canyon Park Slope Stabilization Project (CalJPIA Project), Summer 2023, Winter 2022, Not specified, Slope Stabilization, Disaster, Design  
Storm Drain Master Plan (FEMA Project), Spring 2023, Not specified, Not specified, Storm Drain Master Plan, Disaster, Design  
Clover Heights Storm Drain (FEMA Project), Not specified, Not specified, Not specified, Storm Drain, Disaster, Design  
Encinal Canyon Road Drainage Improvements (CalOES Project), Winter 2022, Summer 2022, Not specified, Drainage Improvements, Disaster, Design  
Malibu Road Slope Repairs (CalOES Project), Winter 2022, Summer 2022, Not specified, Slope Repairs, Disaster, Design  
Westward Beach Road Shoulder Repairs (CalOES Project), Spring 2023, Spring 2023, Not specified, Shoulder Repairs, Disaster, Design  
Outdoor Warning Sirens - Design (FEMA Project), TBD, Not specified, Not specified, Warning Sirens, Disaster, Design  
Broad Beach Road Water Quality Infrastructure Repairs (CalJPIA Project), Winter 2022, Not specified, Not specified, Water Quality Infrastructure Repairs, Disaster, Construction  
Point Dume Decomposed Granite Walkway Repair Project, Winter 2022, Not specified, Not specified, Walkway Repair, Disaster, Construction  
