Understanding Animals: A Critical Challenge in ACI.txt|2018 | Empirical | Animal-Computer Interaction | Qualitative content analysis | NordiCHI | Quantified pets | Kinesthetic empathy | Dog owners | 3
Quantifying the Body and Caring for the Mind: Self-Tracking in Multiple Sclerosis.txt|2017 | Empirical | Health Informatics | Interviews | CHI 2017 | Not specified | Not specified | Patients | 4
Common Barriers to the Use of Patient-Generated Data Across Clinical Settings.txt|2018 | Empirical | Healthcare | Literature review and interviews | CHI Conference | Not specified | Six-stage workflow model | Clinical specialists | 5
Eat & Tell: A Randomized Trial of Random-Loss Incentive to Increase Dietary Self-Tracking Compliance.txt|2018 | empirical | Health informatics | Randomized controlled trial | 2018 International Digital Health Conference | Eat & Tell app | loss aversion theory | Not specified | 4
The 'Self' As Barrier for Self-Management Technologies in Healthcare?.txt|2018 | Empirical | Healthcare | Field study | PervasiveHealth '18 | PICASSO-Tx system | Not specified | Transplant patients | 5
Exploring the Design Space of Glanceable Feedback for Physical Activity Trackers.txt|2016 | Empirical | Personal Informatics | Experiments | UBICOMP '16 | Not specified | Not specified | Not specified | 5
Sundroid: Solar Radiation Awareness with Smartphones.txt|2011 | Empirical | Health | Survey, Experimentation | UbiComp'11 | Sundroid | Not specified | Students | 5
No Longer Wearing: Investigating the Abandonment of Personal Health-tracking Technologies on Craigslist.txt|2015 | Empirical | Health and Wellness | Content Analysis | UbiComp '15 | Not specified | Social Cognitive Theory, Theory of Planned Behavior, Goal Setting Theory | Not specified | 5
What Health Topics Older Adults Want to Track: A Participatory Design Study.txt|2013 | Empirical | Health and Wellness | Participatory Design Study | ASSETS '13 | Mobile health and wellness application | Virtuous cycle model | Older adults (aged 65+) | 2
A Wee Bit More Interaction: Designing and Evaluating an Overactive Bladder App.txt|2019 | Empirical | Mobile Health Applications | Interviews | CHI Conference on Human Factors in Computing Systems | OAB mobile health application | Not specified | Patients with Overactive Bladder | 2
TastyBeats: Designing Palatable Representations of Physical Activity.txt|2015 | Empirical | Human-Computer Interaction (HCI) | Field Study | CHI | TastyBeats | Not specified | Participants | 5
QuittyLink: Using Smartphones for Personal Counseling to Help People Quit Smoking.txt|2015 | Empirical | Smoking cessation | Field study | MobileHCI '15 | QuittyLink | Trans Theoretical Model of health behavior change | Smokers | 5
Designing in the Dark: Eliciting Self-tracking Dimensions for Understanding Enigmatic Disease.txt|2018 | Empirical | Health Informatics | Interviews, Focus Groups, Surveys, Content Analysis | CHI 2018 | Self-tracking tool | Not specified | Patients with endometriosis | 3
Contextual Influences on the Use and Non-Use of Digital Technology While Exercising at the Gym.txt|2015 | Empirical | Human-Computer Interaction (HCI) | Exploratory situated study | CHI 2015 | Samsung Gear Fit | Health behaviour change theories | Gym-goers | 2
Blood Pressure Beyond the Clinic: Rethinking a Health Metric for Everyone.txt|2015 | empirical | Health | field study | CHI 2015 | Not specified | Not specified | adults | 3
Charting Design Preferences on Wellness Wearables.txt|2016 | Empirical | Human-centered computing | Surveys | AH 2016 | Not specified | Not specified | Young adults | 4
Goal-setting And Achievement In Activity Tracking Apps: A Case Study Of MyFitnessPal.txt|2019 | Empirical | Health and Fitness | Case Study | World Wide Web Conference (WWW '19) | MyFitnessPal | Goal-setting Theory | Not specified | 3
Trajectories of Engagement and Disengagement with a Story-Based Smoking Cessation App.txt|2017 | theoretical | health behavior change | qualitative study | CHI 2017 | NewLeaf app | engagement-efficacy perspective | smokers | 5
Fine-grained Sharing of Sensed Physical Activity: A Value Sensitive Approach.txt|2013 | Empirical | Personal Informatics | Semi-structured interviews | UbiComp | Not specified | Value Sensitive Design | Not specified | 3
Scaffolding for an OLM for Long-Term Physical Activity Goals.txt|2018 | Empirical | Personal Informatics | Think-aloud lab study | UMAP '18: 26th Conference on User Modeling, Adaptation and Personalization | iStuckWithIt | Not specified | Long term physical activity trackers | 2
Social (Media) Jet Lag: How Usage of Social Technology Can Modulate and Reflect Circadian Rhythms.txt|2015 | Empirical | Information Science | Surveys, Interviews, Experiments | UbiComp '15 | Not specified | Not specified | Undergraduate students | 5
Tiny Habits in the Giant Enterprise: Understanding the Dynamics of a Quantified Workplace.txt|2015 | Empirical | Workplace Quantiﬁcation | Surveys, Interviews | UbiComp '15 | Quantiﬁed Workplace system | Not specified | Employees | 5
Quantified Self Meets Social Media: Sharing of Weight Updates on Twitter.txt|2016 | Empirical | Health and Social Media | Surveys | DigitalHealth '16 | Smart Scales | Not specified | Not specified | 3
No Forests Without Trees: Particulars and Patterns in Visualizing Personal Communication.txt|2012 | Empirical | Information Science | Evaluation | iConference 2012 | pieTime | Not specified | College-aged participants | 3
The Power of Mobile Notifications to Increase Wellbeing Logging Behavior.txt|2013 | Empirical | Mobile Health | Pilot Study, Full Study | CHI 2013 | Health Mashups System | Not specified | Not specified | 2
Exploring the Value of Parent Tracked Baby Data in Interactions with Healthcare Professionals: A Data-Enabled Design Exploration.txt|2018 | Empirical | Healthcare | Design Exploration | CHI Conference | Data Collection Toolkit | Data-Enabled Design Framework | Parents and Healthcare Professionals | 6
Participant Driven Photo Elicitation for Understanding Activity Tracking: Benefits and Limitations.txt|2017 | empirical | health and fitness | longitudinal participant-driven photo elicitation study | CSCW '17 | Not specified | Not specified | Not specified | 2
Patient Perspectives on Self-Management Technologies for Chronic Fatigue Syndrome.txt|2019 | Empirical | Human-Computer Interaction | Surveys, Interviews, Experiments | CHI Conference on Human Factors in Computing Systems | Not specified | Not specified | Patients | 3
Intelligent Computing in Personal Informatics: Key Design Considerations.txt|2015 | Theoretical | Personal Informatics | Survey | IUI 2015 | Not specified | Cooperative action orchestration model | Not specified | 2
Closing the Gap: Supporting Patients' Transition to Self-Management After Hospitalization.txt|2016 | Empirical | Health Informatics | Qualitative interviews and observations | CHI 2016 | Not specified | Social Cognitive Theory | Patients | 7
How Information Sharing About Care Recipients by Family Caregivers Impacts Family Communication.txt|2018 | Empirical | Healthcare | Experiments | CHI 2018 | FMCT-S (Family Mood and Care Tracker – with Sharing) | Not specified | Depressed family members | 6
FutureSelf: What Happens When We Forecast Self-Trackers? Future Health Statuses?.txt|2017 | Empirical | Health | Interviews | DIS 2017 | FutureSelf app | Not specified | Dieters | 7
It's Definitely Been a Journey: A Qualitative Study on How Women with Eating Disorders Use Weight Loss Apps.txt|2017 | Qualitative | Human-Computer Interaction (HCI) | Interviews | CHI 2017 | Not specified | Sociocultural model of eating disorders | Women with eating disorders | 2
Steps, Choices and Moral Accounting: Observations from a Step-Counting Campaign in the Workplace.txt|2016 | Empirical | Health Informatics | In-situ Study | CSCW | Step-counter | Social Ecology Model | Employees | 2
A Stage-based Model of Personal Informatics Systems.txt|2010 | theoretical | Human-Computer Interaction | surveys, interviews | CHI 2010 | Not specified | stage-based model of personal informatics systems | people who collect and reflect on personal information | 3
Reviewing Reflection: On the Use of Reflection in Interactive System Design.txt|2014 | Theoretical | Human-Computer Interaction | Literature Review | DIS '14 | Not specified | Not specified | Not specified | 6
Lullaby: A Capture & Access System for Understanding the Sleep Environment.txt|2012 | Empirical | Health Informatics | Feasibility Study | UbiComp | Lullaby | Not specified | Patients | 7
Sensor Requirements for Activity Recognition on Smart Watches.txt|2013 | Empirical | Smart Watches | Not specified | PETRA '13 | Not specified | Not specified | Not specified | 3
SleepTight: Low-burden, Self-monitoring Technology for Capturing and Reflecting on Sleep Behaviors.txt|2015 | empirical | health informatics | deployment study | UbiComp '15 | SleepTight | Not specified | patients | 5
